KernelName,Count,Sum(ns),Mean(ns),Median(ns),Pct
"vectorAdd(float const*, float const*, float*, unsigned long) [clone .kd]",1,2229451.0,2229451.0,2229451.0,86.18790574829332
"void gpuVectorAdd<float>(float const*, float const*, float*, int) [clone .kd]",1,357282.0,357282.0,357282.0,13.81209425170669
