Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_TRANS_F32,TCP_TCC_READ_REQ_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_WRITE_REQ_sum,TCP_TCC_ATOMIC_WITH_RET_REQ_sum,TCC_EA_RDREQ_32B_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_TRANS_F64,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,TCP_TCC_ATOMIC_WITHOUT_RET_REQ_sum,SQ_LDS_IDX_ACTIVE,SQ_LDS_BANK_CONFLICT,DispatchNs,BeginNs,EndNs,CompleteNs
0,"vectorAdd(float const*, float const*, float*, unsigned long) [clone .kd]",0,0,0,20004,20004,1048576,1024,0,0,4,32,0,0x0,0x14cbffeac580,0,0,0,0,4096000,0,0,0,21160268.0000000000,49377280.0000000000,16496640.0000000000,0.0000000000,0.0000000000,353120.0000000000,654274.0000000000,728194.0000000000,0,0,0,0,0,0,0,0,0.0000000000,0,0,1106217111492147,1106217118831170,1106217121100463,1106217121147795
1,"void gpuVectorAdd<float>(float const*, float const*, float*, int) [clone .kd]",0,0,2,20004,20004,1024,1024,0,0,8,32,3136,0x0,0x14cc011b2880,0,0,0,0,524288,0,0,0,4194304.0000000000,6291456.0000000000,2097152.0000000000,0.0000000000,0.0000000000,4194340.0000000000,2073524.0000000000,2073524.0000000000,0,0,0,0,0,0,0,0,0.0000000000,0,0,1106217135289060,1106217135580389,1106217152184328,1106217152208053
