KernelName,Count,Sum(ns),Mean(ns),Median(ns),Pct
"void gpuVectorAdd<float>(float const*, float const*, float*, int) [clone .kd]",1,16603939.0,16603939.0,16603939.0,87.97612936671366
"vectorAdd(float const*, float const*, float*, unsigned long) [clone .kd]",1,2269293.0,2269293.0,2269293.0,12.02387063328634
