KernelName,Count,Sum(ns),Mean(ns),Median(ns),Pct
"void gpuVectorAdd<float>(float const*, float const*, float*, int) [clone .kd]",1,6962526908.0,6962526908.0,6962526908.0,99.96668275892159
"vectorAdd(float const*, float const*, float*, unsigned long) [clone .kd]",1,2320495.0,2320495.0,2320495.0,0.03331724107839725
