Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_TRANS_F32,TCP_TCC_READ_REQ_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_WRITE_REQ_sum,TCP_TCC_ATOMIC_WITH_RET_REQ_sum,TCC_EA_RDREQ_32B_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_TRANS_F64,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,TCP_TCC_ATOMIC_WITHOUT_RET_REQ_sum,SQ_LDS_IDX_ACTIVE,SQ_LDS_BANK_CONFLICT,DispatchNs,BeginNs,EndNs,CompleteNs
0,"vectorAdd(float const*, float const*, float*, unsigned long) [clone .kd]",0,0,0,17477,17477,1048576,1024,0,0,4,32,0,0x0,0x14b777e8a580,0,0,0,0,4096000,0,0,0,21533648.0000000000,49377280.0000000000,16496640.0000000000,0.0000000000,0.0000000000,353072.0000000000,690487.0000000000,764407.0000000000,0,0,0,0,0,0,0,0,0.0000000000,0,0,1106003146093153,1106003153579449,1106003155899944,1106003155953406
1,"void gpuVectorAdd<float>(float const*, float const*, float*, int) [clone .kd]",0,0,2,17477,17477,1,1,0,0,8,32,3136,0x0,0x14b779190880,0,0,0,0,33554432,0,0,0,4194304.0000000000,100663296.0000000000,33554432.0000000000,0.0000000000,0.0000000000,4194340.0000000000,2075016.0000000000,2075016.0000000000,0,0,0,0,0,0,0,0,0.0000000000,0,0,1106003170109549,1106003170381968,1106010132908876,1106010132978828
